old_name,suggested_target,reason
Бухоро муҳандислик-технология институти,Бухоро давлат техника университети,"Tarixiy nom: BuxMTI 2021-yilda BuxDTUga aylangan (ma'lumotning o'zida ""олдинги..."" deb yozilgan). Qaysi nom kanonik bo'lishini admin tanlaydi."
Фарғона политехника институти,Фарғона давлат техника университети,Tarixiy nom: FarPI universitetga aylangan. Yo'nalish tanlovi adminda.
Андижон машинасозлик институти,Андижон давлат техника институти,Tarixiy nom: AndMI 2024-da ADTIga aylangan.
Қарши муҳандислик-иқтисодиёт институти,Қарши давлат техника университети,Tarixiy nom: QarMII QarDTUga aylangan.
Наманган муҳандислик-қурилиш институти,Наманган давлат техника университети,Tarixiy nom: NamMQI NamDTUga aylangan (NamMTI bilan adashtirmaslik kerak).
Тошкент архитектура-қурилиш институти,Тошкент архитектура-қурилиш университети,Tarixiy nom: TAQI 2023-da TAQUga aylangan.
Самарқанд давлат архитектура-қурилиш институти,Мирзо Улуғбек номидаги Самарқанд давлат архитектура-қурилиш университети,SamDAQI → universitet; uchta variant guruh bor (institut / universitet / Mirzo Ulug'bek nomidagi universitet).
Самарқанд давлат архитектура-қурилиш университети,Мирзо Улуғбек номидаги Самарқанд давлат архитектура-қурилиш университети,Nomidagi to'liq/qisqa juftlik.
Тошкент темир йўл муҳандислари институти,Тошкент давлат транспорт университети,Tarixiy nom: TTYMI → ToshTIMI → TDTrU.
Тошкент тиббиёт академияси,Тошкент давлат тиббиёт университети,Tarixiy nom: TTA 2024-da TDTUga aylangan — lekin 640 ta yozuvli katta guruh; admin qarori.
Бухоро давлат тиббиёт университети,Бухоро давлат тиббиёт институти,BDTI → universitet (3 ta yozuv yangi nomda). Yo'nalishni admin tanlaydi.
Абу Али ибн Сино номидаги Бухоро давлат тиббиёт институти,Бухоро давлат тиббиёт институти,Nomidagi to'liq/qisqa juftlik (bir xil institut).
Самарқанд давлат тиббиёт институти,Самарқанд давлат тиббиёт университети,Tarixiy nom: SamDTI → SamDTU.
Самарқанд ветеринария медицинаси институти,"Самарқанд давлат ветеринария медицинаси, чорвачилик ва биотехнологиялар университети",Tarixiy nom: SamVMI → universitet.
Навоий давлат кончилик институти,Навоий давлат кончилик ва технологиялар университети,Tarixiy nom: NavDKI → NavDKTU.
Қўқон давлат педагогика институти,Қўқон давлат университети,Tarixiy nom: QDPI 2023-da Qo'qon davlat universitetiga aylangan.
Муқимий номидаги Қўқон Давлат педагогика институти,Қўқон давлат университети,Nomidagi variant + tarixiy nom.
Навоий давлат педагогика институти,Навоий давлат университети,Tarixiy nom: NavDPI 2023-da NavDUga aylangan.
Тошкент вилояти Чирчиқ давлат педагогика институти,Чирчиқ давлат педагогика университети,Tarixiy nom: ChDPI → ChDPU.
Жиззах давлат педагогика институти,Абдулла Қодирий номидаги Жиззах давлат педагогика университети,Tarixiy nom: JDPI → JDPU.
Тошкент давлат педагогика университети,Ўзбекистон миллий педагогика университети,Tarixiy nom: Nizomiy TDPU 2024-da O'zMPUga aylangan — 730 ta yozuvli guruh; admin qarori.
Низомий номидаги Ўзбекистон миллий педагогика университети,Ўзбекистон миллий педагогика университети,Nomidagi to'liq/qisqa juftlik.
Тошкент ирригация ва қишлоқ хўжалигини механизациялаш муҳандислари институти,"“Тошкент ирригация ва қишлоқ хўжалигини механизациялаш муҳандислари институти” Миллий",Tarixiy nom: TIQXMMI → Milliy tadqiqot universiteti.
“ТИҚХММИ” Миллий,"“Тошкент ирригация ва қишлоқ хўжалигини механизациялаш муҳандислари институти” Миллий",Qisqartma vs to'liq nom (aynan shu universitet).
ТДИУ ҳузуридаги “Ўзбекистон иқтисодиётини ривожлантиришнинг,Тошкент давлат иқтисодиёт университети ҳузуридаги Ўзбекистон иқтисодиётини ривожлантиришнинг,Qisqartma (TDIU) vs to'liq nom.
Мирзо Улуғбек номидаги Ўзбекистон Миллий университети,Ўзбекистон Миллий университети,Nomidagi to'liq/qisqa juftlik (rasmiy nomda Mirzo Ulug'bek bor; qaysi shakl kanonik — admin tanlovi).
Ислом Каримов номидаги Тошкент давлат техника университети,Тошкент давлат техника университети,Nomidagi to'liq/qisqa juftlik.
Бердақ номидаги Қорақалпоқ давлат университети,Қорақалпоқ давлат университети,Nomidagi to'liq/qisqa juftlik.
Шароф Рашидов номидаги Самарқанд давлат университети,Самарқанд давлат университети,Nomidagi to'liq/qisqa juftlik.
Заҳириддин Муҳаммад Бобур номидаги Андижон давлат университети,Андижон давлат университети,Nomidagi to'liq/qisqa juftlik.
Муҳаммад ал-Хоразмий номидаги Тошкент ахборот технологиялари университети,Тошкент ахборот технологиялари университети,Nomidagi to'liq/qisqa juftlik.
Ажиниёз номидаги Нукус давлат педагогика институти,Нукус давлат педагогика институти,Nomidagi to'liq/qisqa juftlik.
Математика институти,В.И.Романовский номидаги Математика институти,Qisqa nom (bitta shunday institut bor) — lekin qisqartma qoidasi bo'yicha admin qarori.
Ўзбекистон педагогика фанлари,Т.Н.Қори Ниёзий номидаги Ўзбекистон педагогика фанлари,Nomidagi juftlik; Qori Niyoziy Tarbiya pedagogikasi milliy instituti bilan ham bog'liq bo'lishi mumkin.
Қори Ниёзий номидаги Тарбия педагогикаси миллий институти,Т.Н.Қори Ниёзий номидаги Ўзбекистон педагогика фанлари,Ehtimoliy tarixiy qayta tashkil etish — tekshirish kerak.
Тошкент давлат университети,Ўзбекистон Миллий университети,"1 ta yozuv; tarixiy ToshDU = hozirgi O'zMU bo'lishi ehtimol, lekin qisqargan boshqa nom bo'lishi ham mumkin."
Тошкент тиббиёт институти,Тошкент тиббиёт академияси,1 ta yozuv; tarixiy ToshMI = TTA bo'lishi ehtimol.
Тошкент педиатрия тиббиёт академияси,Тошкент педиатрия тиббиёт институти,1 ta yozuv; ToshPTI nazarda tutilgan bo'lishi ehtimol.
Самарқанд давлат иқтисодиёт университети,Самарқанд иқтисодиёт ва сервис институти,1 ta yozuv; bunday nomli universitet yo'q — SIESI nazarda tutilgan bo'lishi ehtimol.
“Пахтасаноат,"“Paxtasanoat ilmiy markazi” АJ","Bitta tashkilot (kirill kesilgan / lotin to'liq); kanonik nomni admin tanlaydi."
Наманган муҳандислик-технология институти,Наманган давлат техника университети,"Ehtimoliy tarixiy qayta nomlanish (NamMTI ↔ NamDTU) — NamMQI bilan chalkash; rasmiy hujjat bo'yicha tekshirish kerak."
